FTeam,Player,TeamAbbr,Position,DraftRound,DraftPick,LastYearRank,ProjRank
Griddy Little Liars,Rome Odunze,Chi,WR,6.0,10.0,166,51
Griddy Little Liars,Isiah Pacheco,Det,RB,3.0,11.0,252,197
Griddy Little Liars,Tyler Allgeier,Ari,RB,11.0,3.0,177,136
Griddy Little Liars,Nick Chubb,Hou,RB,10.0,12.0,245,"2,079"
Griddy Little Liars,Blake Corum,LAR,RB,13.0,7.0,176,92
Griddy Little Liars,Evan McPherson,Cin,K,,,154,221
Griddy Little Liars,Chiefs,KC,DEF,13.0,10.0,104,239
The Hoodie,Drake Maye,NE,QB,6.0,14.0,3,61
The Hoodie,Zay Flowers,Bal,WR,5.0,1.0,55,32
The Hoodie,Tee Higgins,Cin,WR,2.0,9.0,74,31
The Hoodie,Jahmyr Gibbs,Det,RB,1.0,5.0,15,1
The Hoodie,Chase Brown,Cin,RB,3.0,4.0,34,14
The Hoodie,Hunter Henry,NE,TE,11.0,1.0,119,166
The Hoodie,Javonte Williams,Dal,RB,8.0,14.0,40,29
The Hoodie,George Kittle,SF,TE,2.0,11.0,155,87
The Hoodie,Stefon Diggs,Was,WR,7.0,4.0,89,97
The Hoodie,Dalton Schultz,Hou,TE,,,145,149
The Hoodie,Tyrod Taylor,GB,QB,,,271,"2,648"
The Hoodie,Jordan Mason,Min,RB,4.0,10.0,171,103
The Hoodie,Ricky Pearsall,SF,WR,12.0,9.0,267,358
The Hoodie,Cam Little,Jax,K,14.0,9.0,94,194
The Hoodie,Texans,Hou,DEF,12.0,14.0,39,150
Allen the Family 🦬,Josh Allen,Buf,QB,2.0,2.0,2,35
Allen the Family 🦬,Jauan Jennings,Min,WR,7.0,6.0,127,207
Allen the Family 🦬,Matthew Golden,GB,WR,6.0,3.0,301,99
Allen the Family 🦬,Derrick Henry,Bal,RB,1.0,8.0,25,15
Allen the Family 🦬,Kenny Gainwell,TB,RB,,,71,111
Allen the Family 🦬,Dalton Kincaid,Buf,TE,10.0,7.0,200,106
Allen the Family 🦬,Aaron Jones Sr.,Min,RB,4.0,7.0,202,123
Allen the Family 🦬,Khalil Shakir,Buf,WR,6.0,7.0,158,139
Allen the Family 🦬,Alec Pierce,Ind,WR,,,98,96
Allen the Family 🦬,Darnell Mooney,NYG,WR,12.0,13.0,276,261
Allen the Family 🦬,Garrett Wilson,NYJ,WR,7.0,8.0,246,36
Allen the Family 🦬,Bryce Young,Car,QB,11.0,8.0,29,182
Allen the Family 🦬,Chase McLaughlin,TB,K,15.0,13.0,113,269
Allen the Family 🦬,Bills,Buf,DEF,12.0,7.0,82,243
Allen the Family 🦬,Cowboys,Dal,DEF,,,205,226
Wherefore Art Thou Ws?,Daniel Jones,Ind,QB,,,28,167
Wherefore Art Thou Ws?,DJ Moore,Buf,WR,4.0,9.0,124,45
Wherefore Art Thou Ws?,Keon Coleman,Buf,WR,7.0,9.0,240,275
Wherefore Art Thou Ws?,Rachaad White,Was,RB,10.0,5.0,170,114
Wherefore Art Thou Ws?,Keaton Mitchell,LAC,RB,,,314,124
Wherefore Art Thou Ws?,Zach Ertz,Was,TE,,,208,354
Wherefore Art Thou Ws?,Chimere Dike,Ten,WR,,,206,322
Wherefore Art Thou Ws?,Kaleb Johnson,GB,RB,5.0,9.0,504,210
Wherefore Art Thou Ws?,Rhamondre Stevenson,NE,RB,10.0,2.0,95,62
Wherefore Art Thou Ws?,Rico Dowdle,Pit,RB,12.0,6.0,59,86
Wherefore Art Thou Ws?,Tetairoa McMillan,Car,WR,3.0,9.0,81,37
Wherefore Art Thou Ws?,Justin Herbert,LAC,QB,10.0,6.0,12,75
Wherefore Art Thou Ws?,Chuba Hubbard,Car,RB,6.0,6.0,187,84
Wherefore Art Thou Ws?,Jason Myers,Sea,K,,,56,188
Wherefore Art Thou Ws?,Browns,Cle,DEF,,,46,302
Andrews Hall Pass,C.J. Stroud,Hou,QB,6.0,8.0,35,175
Andrews Hall Pass,Nico Collins,Hou,WR,7.0,11.0,64,18
Andrews Hall Pass,CeeDee Lamb,Dal,WR,1.0,6.0,92,12
Andrews Hall Pass,Jonathan Taylor,Ind,RB,1.0,7.0,11,5
Andrews Hall Pass,Breece Hall,NYJ,RB,2.0,8.0,63,30
Andrews Hall Pass,Harold Fannin Jr.,Cle,TE,,,116,78
Andrews Hall Pass,Bucky Irving,TB,RB,10.0,8.0,169,50
Andrews Hall Pass,Patrick Mahomes,KC,QB,3.0,13.0,14,122
Andrews Hall Pass,David Montgomery,Hou,RB,4.0,8.0,105,57
Andrews Hall Pass,Mark Andrews,Bal,TE,5.0,7.0,197,135
Andrews Hall Pass,Alvin Kamara,NO,RB,3.0,1.0,237,191
Andrews Hall Pass,Michael Pittman Jr.,Pit,WR,3.0,7.0,96,104
Andrews Hall Pass,Ka'imi Fairbairn,Hou,K,14.0,14.0,60,168
Andrews Hall Pass,Seahawks,Sea,DEF,,,31,165
Andrews Hall Pass,Bears,Chi,DEF,,,102,290
